"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 27 23:27:26 GMT 2022","Tue Sep 27 23:27:44 GMT 2022","17824","chromium","advanced.spec.ts","Advanced Tasks","","","#2. Verify that empty search result list will be displayed after change search area from Planet to People for the same search query",""
"passed","Tue Sep 27 23:27:44 GMT 2022","Tue Sep 27 23:27:46 GMT 2022","2881","chromium","starWars.spec.ts","Verify search functionality for Star Wars Search Portal","","","#7. Data Driven Test using POM and DTO models. Verify Planet Search results with the API response for query: HOTH","Verify Planet Search results for search query"
"passed","Tue Sep 27 23:27:26 GMT 2022","Tue Sep 27 23:27:36 GMT 2022","9935","chromium","advanced.spec.ts","Advanced Tasks","","","#4. Compare results on planet partial matching by ""as"" query from the API response vs UI search results",""
"passed","Tue Sep 27 23:27:36 GMT 2022","Tue Sep 27 23:27:43 GMT 2022","7208","chromium","starWars.spec.ts","Verify search functionality for Star Wars Search Portal","","","#6. Data Driven Test using POM. Verify People Search results for search query: Luke Skywalker","Verify People Search results for search query: Luke Skywalker"
"passed","Tue Sep 27 23:27:26 GMT 2022","Tue Sep 27 23:27:32 GMT 2022","5883","chromium","simpleTest.spec.ts","","","","Simple test. Verify starting page","Verify starting page to contain all elements"
"passed","Tue Sep 27 23:27:40 GMT 2022","Tue Sep 27 23:27:46 GMT 2022","6234","chromium","starWars.spec.ts","Verify search functionality for Star Wars Search Portal","","","#6. Data Driven Test using POM. Verify People Search results for search query: R2-D2","Verify People Search results for search query: R2-D2"
"passed","Tue Sep 27 23:27:36 GMT 2022","Tue Sep 27 23:27:40 GMT 2022","4089","chromium","starWars.spec.ts","Verify search functionality for Star Wars Search Portal","","","#6. Data Driven Test using POM. Verify People Search results for search query: C-3PO","Verify People Search results for search query: C-3PO"
"passed","Tue Sep 27 23:27:26 GMT 2022","Tue Sep 27 23:27:38 GMT 2022","12510","chromium","advanced.spec.ts","Advanced Tasks","","","#5. Compare results on people partial matching by ""sky"" query from the API response vs UI search results",""
"passed","Tue Sep 27 23:27:44 GMT 2022","Tue Sep 27 23:27:49 GMT 2022","4224","chromium","starWars.spec.ts","Verify search functionality for Star Wars Search Portal","","","#9. Negative test. Verify that there is no results when People search query is invalid","Verify ""Not found."" search result for the invalid People search query"
"passed","Tue Sep 27 23:27:26 GMT 2022","Tue Sep 27 23:27:40 GMT 2022","14572","chromium","advanced.spec.ts","Advanced Tasks","","","#3. Verify that empty search result list will be displayed after change search area from People To Planet for the same search query",""
"passed","Tue Sep 27 23:27:40 GMT 2022","Tue Sep 27 23:27:44 GMT 2022","4019","chromium","starWars.spec.ts","Verify search functionality for Star Wars Search Portal","","","#7. Data Driven Test using POM and DTO models. Verify Planet Search results with the API response for query: tatooine","Verify Planet Search results for search query"
"passed","Tue Sep 27 23:27:38 GMT 2022","Tue Sep 27 23:27:41 GMT 2022","3085","chromium","starWars.spec.ts","Verify search functionality for Star Wars Search Portal","","","#6. Data Driven Test using POM. Verify People Search results for search query: Leia Organa","Verify People Search results for search query: Leia Organa"
"passed","Tue Sep 27 23:27:43 GMT 2022","Tue Sep 27 23:27:46 GMT 2022","3118","chromium","starWars.spec.ts","Verify search functionality for Star Wars Search Portal","","","#7. Data Driven Test using POM and DTO models. Verify Planet Search results with the API response for query: alderaan","Verify Planet Search results for search query"
"passed","Tue Sep 27 23:27:41 GMT 2022","Tue Sep 27 23:27:44 GMT 2022","2995","chromium","starWars.spec.ts","Verify search functionality for Star Wars Search Portal","","","#7. Data Driven Test using POM and DTO models. Verify Planet Search results with the API response for query: corus","Verify Planet Search results for search query"
"passed","Tue Sep 27 23:27:32 GMT 2022","Tue Sep 27 23:27:36 GMT 2022","4029","chromium","starWars.spec.ts","Verify search functionality for Star Wars Search Portal","","","#6. Data Driven Test using POM. Verify People Search results for search query: Boba Fett","Verify People Search results for search query: Boba Fett"
"skipped","Tue Sep 27 23:27:26 GMT 2022","Tue Sep 27 23:27:26 GMT 2022","15","chromium","advanced.spec.ts","Advanced Tasks","","","#1. Verify that empty result list will be visible after change search query",""
"passed","Tue Sep 27 23:27:44 GMT 2022","Tue Sep 27 23:27:47 GMT 2022","2770","chromium","starWars.spec.ts","Verify search functionality for Star Wars Search Portal","","","#8. Negative test. Verify that there is no results when Planet search query is invalid","Verify ""Not found."" search result for the invalid Planet search query"
